dimensions,num_beds,num_baths,house_type,city,location,area_block,description,url,price
"1,900 sqft",3,3,Apartment,Dhaka,Dhanmondi,Road No 8,"1900 Sq Ft Flat Is Up For Rent With All Facilities At A Reasonable Price In Road No 8, Dhanmondi",/en/property/details-3011148.html,50000.0
800 sqft,2,2,Apartment,Dhaka,Dhanmondi,West Dhanmondi and Shangkar,Check This 800 Sq. Ft Apartment Up For Rent Very Near To West Dhanmondi Yousuf High School,/en/property/details-5387388.html,16000.0
800 sqft,2,2,Apartment,Dhaka,Dhanmondi,West Dhanmondi and Shangkar,Very Close To West Dhanmondi Yousuf High School A 800 Square Feet Residential Apartment For Rent,/en/property/details-5387397.html,16000.0
800 sqft,2,2,Apartment,Dhaka,Dhanmondi,West Dhanmondi and Shangkar,Be the occupant of this 800 SQ FT residential home vacant for rent at Dhanmondi,/en/property/details-5387390.html,16000.0
800 sqft,2,2,Apartment,Dhaka,Dhanmondi,West Dhanmondi and Shangkar,Grab This 800 Square Feet Decent House Up For Rent At West Dhanmondi and Shangkar.,/en/property/details-5387392.html,16000.0
800 sqft,2,2,Apartment,Dhaka,Dhanmondi,West Dhanmondi and Shangkar,An Affordable 800 Square Feet -2 Bedroom Apartment Is Up For Rent In West Dhanmondi and Shangkar.,/en/property/details-5387393.html,16000.0
800 sqft,2,2,Apartment,Dhaka,Dhanmondi,West Dhanmondi and Shangkar,"Bringing you a 800 SQ FT home for rent, in Dhanmondi",/en/property/details-5387394.html,16000.0
800 sqft,2,2,Apartment,Dhaka,Dhanmondi,West Dhanmondi and Shangkar,"Bringing you a 800 SQ FT home for rent, in Dhanmondi",/en/property/details-5387395.html,16000.0
800 sqft,2,2,Apartment,Dhaka,Dhanmondi,West Dhanmondi and Shangkar,Ready convenient flat of 800 SQ FT is up for rent in West Dhanmondi and Shangkar,/en/property/details-5387387.html,16000.0
"1,300 sqft",3,4,Apartment,Dhaka,Dhanmondi,Road No 7,Magnify Your Living By Renting This Incredible Flat Of 1300 Sq Ft In Dhanmondi,/en/property/details-4051180.html,35000.0
800 sqft,2,2,Apartment,Dhaka,Dhanmondi,West Dhanmondi and Shangkar,800 SQ FT residential apartment is set to get rented sited at Dhanmondi,/en/property/details-5387386.html,16000.0
800 sqft,2,2,Apartment,Dhaka,Dhanmondi,West Dhanmondi and Shangkar,Take A Glimpse Of This 800 Sq Ft Apartment For Rent In A Nice Area Like West Dhanmondi,/en/property/details-5387396.html,16000.0
"1,000 sqft",3,3,Apartment,Dhaka,Dhanmondi,Jhigatola Road,"Find Your Desired Apartment At This Ready 1000 Sq Ft Flat For Rent At Jhigatola Road, Dhanmondi",/en/property/details-3258438.html,25000.0
"3,750 sqft",4,5,Apartment,Dhaka,Dhanmondi,Road No 2A,"Built With Modern Amenities, Check This 3750 Sq. Ft Spacious Flat For Rent In The Location Of Dhanmondi Next To Eastern Bank Limited .",/en/property/details-4092210.html,110000.0
"1,200 sqft",3,3,Apartment,Dhaka,Dhanmondi,Road No 4A,Well Facilitated 1200 Sq Ft Residence Is Ready For Rent In Dhanmondi,/en/property/details-4551266.html,23500.0
600 sqft,2,1,Apartment,Dhaka,Dhanmondi,Jhigatola Road,"Available For Rental Purpose, This 600 Sq Ft Apartment In Jhigatola Road, Dhanmondi",/en/property/details-4447283.html,14000.0
"1,600 sqft",3,3,Apartment,Dhaka,Dhanmondi,Road No 14,In The Beautiful Neighborhood Of Dhanmondi Beside To Sobhanbagh Masjid A Flat Is Up For Rent,/en/property/details-4003545.html,45000.0
"1,870 sqft",3,3,Apartment,Dhaka,Dhanmondi,Road No 14,"With An Availability Of Essential Civic Needs, This 1870 Sq. Ft Apartment At Dhanmondi Close To Daffodil International School Is Promising You A Refined Form Of Lifestyle.",/en/property/details-4003546.html,45000.0
"1,975 sqft",3,3,Apartment,Dhaka,Dhanmondi,Road No 6A,Picture yourself in this residential apartment of 1975 SQ FT for rent in Dhanmondi,/en/property/details-3281814.html,55000.0
"1,975 sqft",3,3,Apartment,Dhaka,Dhanmondi,Road No 6A,"1975 Sq Ft Flat For Rent In Dhanmondi-6, With Different Residential Aspects",/en/property/details-3281813.html,80000.0
"1,650 sqft",3,3,Apartment,Dhaka,Dhanmondi,Shukrabad,Take Rent Of A Nicely Done 1650 Sq Ft Residential Apartment Located At Shukrabad,/en/property/details-5195020.html,32000.0
"2,000 sqft",3,3,Apartment,Dhaka,Dhanmondi,Road No 12A,This 2000 Sq. Ft Convenient Flat Is For Rent In Dhanmondi Beside To Bangladesh Medical College Hospital,/en/property/details-3012656.html,42000.0
"1,960 sqft",3,3,Apartment,Dhaka,Dhanmondi,Road No 12A,1960 Sq. ft Apartment Is Available For Rent In Dhanmondi Near Bangladesh Medical College Hospital Which Is Tailored To Your Highest Standards,/en/property/details-4734596.html,50000.0
"2,300 sqft",3,4,Apartment,Dhaka,Dhanmondi,Road No 12A,Make Your Dream Of Owning A Decent 2300 Sq. Ft Apartment Near Bangladesh Medical College Hospital In The Downtown To Count.,/en/property/details-3013740.html,45000.0
"2,300 sqft",3,5,Apartment,Dhaka,Dhanmondi,Road No 12A,Affordable And Wonderful 2300 Square Feet Full Furnished Flat Up For Rent Close To Bangladesh Medical College Hospital,/en/property/details-3012644.html,70000.0
"1,570 sqft",3,4,Apartment,Dhaka,Dhanmondi,Road No 12A,Lovely Apartment Covering An Area Of 1570 Sq Ft Is Up For Rent In Dhanmondi,/en/property/details-3013195.html,40000.0
"1,570 sqft",3,4,Apartment,Dhaka,Dhanmondi,Road No 12A,Well Facilitated 1570 Sq Ft Residence Is Ready For Rent In Dhanmondi,/en/property/details-3013194.html,40000.0
"1,570 sqft",3,4,Apartment,Dhaka,Dhanmondi,Road No 12A,Enhance Your Lifestyle By Renting This Wonderful 1570 Sq Ft Apartment In Dhanmondi,/en/property/details-3013186.html,40000.0
700 sqft,2,2,Apartment,Dhaka,Dhanmondi,Sher-E-Bangla Road,"Built With Modern Amenities, Check This 700 Sq Ft Flat For Rent In Sher-e-bangla Road, Dhanmondi",/en/property/details-3682105.html,16000.0
"1,400 sqft",3,3,Apartment,Dhaka,Dhanmondi,Sher-E-Bangla Road,"1400 Sq Ft Flat With Modern Features Is Ready To Rent In Dhanmondi, Sher-e-bangla Road",/en/property/details-3682042.html,25000.0
"2,020 sqft",3,3,Apartment,Dhaka,Dhanmondi,Road No 12A,It's About Time You Have A Spacious Home In A Classy Place Like Dhanmondi,/en/property/details-5322502.html,40000.0
800 sqft,2,3,Apartment,Dhaka,Dhanmondi,West Dhanmondi and Shangkar,"Available For Rental Purpose, This 800 Sq Ft Apartment In West Dhanmondi And Shangkar, Dhanmondi Is Ready To Move",/en/property/details-3476508.html,20000.0
800 sqft,2,2,Apartment,Dhaka,Dhanmondi,West Dhanmondi and Shangkar,"Attractive Apartment Of 800 Sq Ft Is Up For Rent At Hazi Afsar Uddin Road, West Dhanmondi And Shangkar",/en/property/details-3476512.html,20000.0
700 sqft,2,1,Apartment,Dhaka,Dhanmondi,West Dhanmondi and Shangkar,With An Awesome Environment A 700 Sq Ft Flat Is Vacant For Rent In West Dhanmondi And Shangkar,/en/property/details-4442506.html,15000.0
800 sqft,3,2,Apartment,Dhaka,Dhanmondi,North Road,"Get This Well Defined 800 Sq Ft Flat For Rent In North Road, Dhanmondi",/en/property/details-5226797.html,23500.0
900 sqft,3,2,Apartment,Dhaka,Dhanmondi,West Dhanmondi and Shangkar,Properly Constructed Flat Of 900 Sq Ft Is Vacant For Rent In West Dhanmondi And Shangkar,/en/property/details-3683230.html,17000.0
900 sqft,3,2,Apartment,Dhaka,Dhanmondi,West Dhanmondi and Shangkar,A Budget Friendly Lovely Residence Is Now Up For Rent In West Dhanmondi And Shangkar Which Is 900 Sq Ft,/en/property/details-3683234.html,15000.0
900 sqft,3,2,Apartment,Dhaka,Dhanmondi,West Dhanmondi and Shangkar,A Nice Lifestyle Is Waiting For You In This 900 Sq Ft Flat Ready To Rent,/en/property/details-3902353.html,14000.0
900 sqft,3,2,Apartment,Dhaka,Dhanmondi,West Dhanmondi and Shangkar,900 Sq Ft Flat Full Of Special Features Is Up For Rent In West Dhanmondi And Shangkar,/en/property/details-3902354.html,14000.0
900 sqft,3,2,Apartment,Dhaka,Dhanmondi,West Dhanmondi and Shangkar,Spend Your Days In This 900 Sq Ft Flat Ready To Rent In West Dhanmondi,/en/property/details-3902355.html,14000.0
800 sqft,2,2,Apartment,Dhaka,Dhanmondi,North Road,Assure Your Peaceful Days By Renting This Flat Of 800 Sq Ft In Dhanmondi,/en/property/details-4519138.html,17000.0
"2,350 sqft",4,4,Apartment,Dhaka,Dhanmondi,Road No 6A,"This 2350 Sq Ft Flat For Rent Is Situated In A Nice Area Like Dhanmondi, Road No 6a",/en/property/details-3008351.html,65000.0
700 sqft,2,2,Apartment,Dhaka,Dhanmondi,West Dhanmondi and Shangkar,An Amazing 700 Sq Ft Apartment is up for Rent and All Set For You To Settle In West Dhanmondi and Shangkar,/en/property/details-5377219.html,15000.0
