dimensions,num_beds,num_baths,house_type,city,location,area_block,description,url,price
"2,500 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,With An Awesome Environment A 2500 Sq Ft Flat Is Vacant For Rent In Gulshan 2,/en/property/details-3806614.html,100000.0
"3,500 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 1,Establish Your Peace In This Nice 3500 Sq Ft Apartment For Rent At Gulshan 1,/en/property/details-3859227.html,110000.0
"2,000 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,Fairly Large Apartment Of 2000 Sq Ft Is Ready For Rent In Gulshan 2,/en/property/details-3431811.html,70000.0
"2,700 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 1,Experience The Ultimate Luxury Lifestyle Here In This 2700 Sq Ft Flat At Gulshan 1,/en/property/details-3428883.html,75000.0
"3,000 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 1,3000 Sq Ft An Elegant Apartment Is Up For Rent At The Prime Location Of Gulshan 1,/en/property/details-5234200.html,100000.0
"2,900 sqft",3,4,Apartment,Dhaka,Gulshan,Gulshan 2,A worthwhile 2900 SQ FT residential flat is ready for rent at Gulshan,/en/property/details-3092580.html,80000.0
"1,800 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,A 1800 SQ FT very reasonable medium flat is available for rent at Gulshan,/en/property/details-4941610.html,45000.0
"3,000 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 2,Let Us Show You This 3000 Sq Ft Apartment For Rent In Gulshan 2,/en/property/details-3069858.html,110000.0
"3,500 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 2,We Would Like To Present You A Beautiful 4 Bedroom Flat For Rent In Gulshan 2,/en/property/details-3030235.html,250000.0
"2,350 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 1,Make this 2350 SQ FT rental family residence yours located at Gulshan,/en/property/details-3059031.html,55000.0
"2,500 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,Days Would Be Better Now In Your High-rise 2500 Sq. Ft Apartment At Gulshan 2 With Golden Dawns And Lilac Dusks.,/en/property/details-3069123.html,75000.0
"3,000 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 1,3000 Sq Ft Apartment With Wonderful Home Services For Rent In Gulshan 1,/en/property/details-3059754.html,120000.0
"3,000 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 1,"Make This 3000 Sq Ft Apartment Your Next Residing Location, Which Is Up To Rent In Gulshan 1",/en/property/details-4417413.html,110000.0
"3,100 sqft",3,4,Apartment,Dhaka,Gulshan,Gulshan 1,A Convenient And Well-constructed 3100 Sq. Ft Flat Is For Rent At Gulshan 1.,/en/property/details-3069203.html,100000.0
"2,000 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,A Full Furnished And Finely Built 2000 Sq Ft Flat Is Up For Rent In Gulshan 2 Nearby Embassy Of North Korea,/en/property/details-3092370.html,75000.0
"2,350 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 2,2350 Sq Ft Apartment With A Splendid Design Is For Rent In Gulshan 2,/en/property/details-3485646.html,80000.0
"3,360 sqft",4,5,Apartment,Dhaka,Gulshan,Gulshan 1,3360 Sq Ft Apartment For Rent In Gulshan-1 With A Modern Interior And Nice Fittings,/en/property/details-3921029.html,150000.0
"2,250 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 1,Come And Grab This Exclusive Apartment For Rent In Gulshan 1 Near Gulshan Old Post Office,/en/property/details-3072226.html,75000.0
"2,300 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 1,A relaxing 2300 SQ FT flat is up for rent at Gulshan with a very low price,/en/property/details-5053087.html,150000.0
"2,450 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,Experience The Ultimate Luxury Lifestyle Here In This Flat for Rent in Gulshan,/en/property/details-3069649.html,100000.0
"2,500 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 1,"Looking For A Tasteful Home To Rent In Gulshan 1, Check This One",/en/property/details-3071136.html,90000.0
"2,170 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 1,Check This Residential Apartment In Gulshan 1 For Rent Which Is Ready To Move In,/en/property/details-3060000.html,80000.0
"3,500 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 2,The Essential Approaches Of A Modern Lifestyle Is Being Offered By This Flat To Rent,/en/property/details-3156315.html,250000.0
"2,100 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 1,"Perfect For A Family Home, This Apartment Of 2100 Sq Ft Is Up For Rent In Gulshan 1",/en/property/details-3410895.html,60000.0
"2,000 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,2000 Sq Ft Residential Apartment For Rent At Gulshan 2,/en/property/details-3068308.html,65000.0
"2,350 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,Find Your Desired Apartment At This Ready 2350 Sq Ft Furnished Flat For Rent At Gulshan 2,/en/property/details-3963164.html,80000.0
"2,600 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 1,A convenient 2600 SQ FT residential home is prepared to be rented at Gulshan,/en/property/details-3071749.html,250000.0
"2,600 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 1,2600 Sq Ft Apartment Is Available For Rent In Gulshan,/en/property/details-3071751.html,250000.0
"2,600 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 1,2600 Sq Ft Nice Apartment For Rent At Gulshan 1,/en/property/details-3071759.html,250000.0
"2,600 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 1,Beautiful 2600 Sq Ft Apartment For Rent At Gulshan 1,/en/property/details-3071757.html,250000.0
"2,600 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 1,2600 Sq Ft Furnished Apartment For Rent At Gulshan 1,/en/property/details-3071753.html,250000.0
"2,600 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 1,2600 Sq Ft Apartment For Rent At Gulshan 1,/en/property/details-3071755.html,250000.0
"2,350 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 1,A well-featured rental 2350 SQ FT residential property is ready for you to own at Gulshan,/en/property/details-3310556.html,80000.0
"2,750 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,Sophisticated Style! This 2750 Sq. Ft Flat For Rent In Gulshan 2 Is All About It .,/en/property/details-5291209.html,100000.0
"2,700 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 1,2700 Sq Ft Apartment Is Available For Rent In Gulshan,/en/property/details-3070974.html,100000.0
"2,340 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 1,Residential Apartment For Rent Of 2340 Sq Ft At Gulshan,/en/property/details-3427470.html,130000.0
"3,900 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 2,Well Fitted Flat Is Here Available For Rental Purpose Covering 3900 Sq Ft Space In Gulshan 2,/en/property/details-5253665.html,250000.0
"1,800 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 1,1800 Sq Ft Apartment Is Up For Rent In Gulshan,/en/property/details-3230838.html,70000.0
"2,488 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 1,A Dazzling 2488 Sq Ft Residential Property Is Up For Rent Located At Gulshan 1,/en/property/details-3058470.html,85000.0
"2,288 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 1,A proper 2288 SQ FT residence is prepared to be rented at Gulshan 1,/en/property/details-3058466.html,75000.0
"3,715 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 2,A Nicely Constructed Apartment Of 3715 Sq Ft Is Available Right Now For Rent In Gulshan 2,/en/property/details-3373892.html,225000.0
"2,800 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 2,Excellent Flat Of 2800 Sq Ft Is All Set For Rent In The Fine Location Of Gulshan 2,/en/property/details-3059517.html,125000.0
"2,800 sqft",4,5,Apartment,Dhaka,Gulshan,Gulshan 2,We Bring You An Excellent Flat Of 2800 Sq Ft For Rent In Gulshan 2,/en/property/details-3059518.html,125000.0
"2,200 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 1,2200 Sq Ft Apartment Is Up For Rent At Gulshan 1,/en/property/details-3059478.html,55000.0
