dimensions,num_beds,num_baths,house_type,city,location,area_block,description,url,price
500 sqft,2,1,Apartment,Dhaka,Mirpur,Middle Paikpara,"500 Sq Ft Flat For Rent In Mirpur, Middle Paikpara With Wonderful Residential Attributes",/en/property/details-4551653.html,6500.0
600 sqft,2,1,Apartment,Dhaka,Mirpur,West Kazipara,Feel The Satisfactory Environment Of This Area By Renting This Flat Of 600 Sq Ft,/en/property/details-4807464.html,9000.0
650 sqft,2,1,Apartment,Dhaka,Mirpur,West Kazipara,"Live With Pleasure In This 650 Sq Ft Nice Flat For Rent In Mirpur, West Kazipara",/en/property/details-4807467.html,10000.0
700 sqft,2,2,Apartment,Dhaka,Mirpur,Pirerbag,"Accomplish Your Goal Of Renting A Cozy 700 Sq Ft Flat In Mirpur, Pirerbag",/en/property/details-4958768.html,10000.0
900 sqft,2,2,Apartment,Dhaka,Mirpur,West Kazipara,"Relish Your Days In This Cozy 900 Sq Ft Flat, Ready To Rent In Mirpur, West Kazipara",/en/property/details-5316841.html,15000.0
650 sqft,2,2,Apartment,Dhaka,Mirpur,West Kazipara,"Decorate Your Cozy Home Of 650 Sq Ft, For Your Tranquil Living In Mirpur",/en/property/details-5316833.html,10000.0
950 sqft,3,2,Apartment,Dhaka,Mirpur,West Shewrapara,Hold On To This 950 Square Feet Apartment For Rent In A Lively Place Like Mirpur,/en/property/details-5387688.html,13000.0
950 sqft,3,2,Apartment,Dhaka,Mirpur,West Shewrapara,"If You Are Passionate Enough About Renting A Budget Friendly Home In Mirpur, Verify This 950 Sq Ft Flat",/en/property/details-5387689.html,13000.0
950 sqft,3,2,Apartment,Dhaka,Mirpur,West Shewrapara,Make Change In Your Lifestyle By Renting This Modern Flat Of 950 Square Feet In Mirpur,/en/property/details-5387692.html,13000.0
950 sqft,3,2,Apartment,Dhaka,Mirpur,West Shewrapara,"Plan To Shift In This 950 Square Feet Apartment For Rent, In Mirpur, West Shewrapara",/en/property/details-5387693.html,13000.0
950 sqft,3,2,Apartment,Dhaka,Mirpur,West Shewrapara,"Define Your Home Taste By Renting This Residence Of 950 Sq Ft At Wasa Road, West Shewrapara",/en/property/details-5387685.html,13000.0
875 sqft,2,2,Apartment,Dhaka,Mirpur,Pirerbag,Excellent Flat Of 875 Sq Ft Is All Set For Rent In The Fine Location Of Pirerbag,/en/property/details-3770495.html,14000.0
875 sqft,2,2,Apartment,Dhaka,Mirpur,Pirerbag,"At Kamal Sarani, This 2 Bedroom Home Of 875 Sq Ft Is Up For Rent Near Alim Uddin High School",/en/property/details-3770494.html,14000.0
875 sqft,2,2,Apartment,Dhaka,Mirpur,Pirerbag,"This Residential Apartment Of 875 Sq Ft Is Available For Rent In Kamal Sarani, Pirerbag",/en/property/details-3770490.html,14000.0
700 sqft,2,2,Apartment,Dhaka,Mirpur,West Shewrapara,Available Residential Apartment Near To Haji Masjid-E-Baitul Haram Is Up For Rent At West Shewrapara.,/en/property/details-4393415.html,12000.0
"1,000 sqft",3,2,Apartment,Dhaka,Mirpur,Pallabi,"Now You Can Afford To Dwell Well, Check This 3 Bedroom Apartment At Block K, Pallabi Extension,",/en/property/details-3477540.html,14000.0
"1,200 sqft",3,3,Apartment,Dhaka,Mirpur,Section 1,"1200 Sq Ft Cozy Flat For Rent In Tolarbag, Mirpur-1 With Impressive Features And Price.",/en/property/details-5318111.html,17000.0
900 sqft,2,2,Apartment,Dhaka,Mirpur,2nd Colony,"Find 900 Sq Ft Flat Available For Rent In Mirpur, 2nd Colony",/en/property/details-4403721.html,12500.0
"1,100 sqft",3,3,Apartment,Dhaka,Mirpur,Section 1,"This Flat Of 1100 Sq Ft Is Ready To Serve You With A Peaceful Environment At Tolarbag, Mirpur-1",/en/property/details-5372714.html,15000.0
600 sqft,2,2,Apartment,Dhaka,Mirpur,South Monipur,Focus On Renting A Cozy Home For Your Family Like This 600 Sq Ft Apartment In South Monipur,/en/property/details-3527243.html,7500.0
600 sqft,2,1,Apartment,Dhaka,Mirpur,Pirerbag,"An Adequate 600 Sq Ft Residential Apartment Is Up For Rent In The Center Of Janata Road, Middle Pirerbag.",/en/property/details-5161529.html,9000.0
"1,200 sqft",3,3,Apartment,Dhaka,Mirpur,Section 1,"An Affordable 1200 Square Feet -3 Bedroom Apartment Is Up For Rent In Tolarbag, Very Next To National Heart Foundation Hospital.",/en/property/details-5318136.html,16000.0
900 sqft,2,2,Apartment,Dhaka,Mirpur,2nd Colony,"Grab This 900 Sq Ft Apartment For Rent In Mirpur, 2nd Colony Near Madina Masjid And Madrasa",/en/property/details-4403718.html,13000.0
"1,200 sqft",2,2,Apartment,Dhaka,Mirpur,Mirpur DOHS,This Residence With Satisfactory Price In Mirpur DOHS Is For Rent Will Ensure Your Higher Quality Of Living,/en/property/details-4122949.html,24000.0
"1,200 sqft",2,2,Apartment,Dhaka,Mirpur,Mirpur DOHS,Here Is A Ready Flat Of 1200 Sq Ft Waiting For Rent At Mirpur DOHS Nearby Central Mosque,/en/property/details-4122946.html,24000.0
800 sqft,2,2,Apartment,Dhaka,Mirpur,Middle Paikpara,"800 Sq Ft Residential Flat Is For Rent In Middle Paikpara, Shah Shaheb Nagar",/en/property/details-5018921.html,15000.0
650 sqft,2,2,Apartment,Dhaka,Mirpur,Section 12,"This 650 Sq Ft Apartment Is Ready For Rent In Mirpur, With Easy Availability Of Essential Home Affairs",/en/property/details-3745801.html,10000.0
650 sqft,2,2,Apartment,Dhaka,Mirpur,Section 12,"Mark This 650 Sq Ft Apartment For Rent, To Live A Life Full Of Ease At Mirpur-12",/en/property/details-5385104.html,11000.0
650 sqft,2,2,Apartment,Dhaka,Mirpur,Section 12,Get Hold Of This 650 Sq Ft Apartment For Rent In Mirpur-12,/en/property/details-5385107.html,11000.0
650 sqft,2,2,Apartment,Dhaka,Mirpur,Section 12,The Aspects Of This 650 Sq Ft Apartment Is Ready To Satisfy Your Homely Desires,/en/property/details-3709806.html,11000.0
650 sqft,2,2,Apartment,Dhaka,Mirpur,Section 12,650 Sq Ft Lovely Apartment Is Ready For Rent In Mirpur-12,/en/property/details-3443550.html,12000.0
