dimensions,num_beds,num_baths,house_type,city,location,area_block,description,url,price
"1,654 sqft",3,4,Apartment,Dhaka,Uttara,Sector 18,Grab The Deal Of Renting This 1654 Sq Feet Residential Apartment In Rajuk-Uttara Apartment Project,/en/property/details-4782719.html,15000.0
"1,654 sqft",3,4,Apartment,Dhaka,Uttara,Sector 18,Hurry! Make This 3 Bedroom Apartment Your Next Residing Place In Rajuk-Uttara Apartment Project,/en/property/details-4782658.html,15000.0
"1,654 sqft",3,4,Apartment,Dhaka,Uttara,Sector 18,"Bright And Cozy Apartment Featuring 1654 Sq Ft Space Is Up For Rent In Uttara, Sector 18",/en/property/details-4782580.html,15000.0
"1,654 sqft",3,4,Apartment,Dhaka,Uttara,Sector 18,"Good-Looking Flat Is Vacant For Rent In Rajuk-Uttara Apartment Project, Which Is 1654 Sq Ft",/en/property/details-4606011.html,15000.0
800 sqft,2,1,Apartment,Dhaka,Uttara,Sector 11,Ready convenient flat of 800 SQ FT is up for rent in Uttara 11,/en/property/details-5387352.html,18000.0
"1,654 sqft",3,4,Apartment,Dhaka,Uttara,Sector 18,"In The Amazing Location Of Rajuk-Uttara Apartment Project, Block A, This 1654 Sq Ft Flat Is Waiting For Rent",/en/property/details-4605922.html,15000.0
"1,654 sqft",3,4,Apartment,Dhaka,Uttara,Sector 18,Get Ready To Rent This Admirably Managed 1654 Sq Ft Apartment Located In Rajuk Uttara Apartment Project,/en/property/details-4602747.html,15000.0
"1,654 sqft",3,4,Apartment,Dhaka,Uttara,Sector 18,"This Residential Apartment Of 1654 Sq Ft Is Available For Rent In Rajuk Uttara Apartment Project, Block A",/en/property/details-4602796.html,15000.0
"1,654 sqft",3,4,Apartment,Dhaka,Uttara,Sector 18,"Uttara Is Offering You A 1654 Sq Ft Flat, Ready To Rent With Considerable Home Features",/en/property/details-4782801.html,15000.0
"1,654 sqft",3,4,Apartment,Dhaka,Uttara,Sector 18,This Residence Of 1654 Sq Ft With Satisfactory Price In Rajuk Uttara Apartment Project Is Up For Rent,/en/property/details-4605954.html,15000.0
"1,500 sqft",3,3,Apartment,Dhaka,Uttara,Sector 6,"This 1500 Sq Ft Residence In Uttara, Sector 6 Is Well Facilitated And Is Up For Rent",/en/property/details-3031885.html,30000.0
"1,500 sqft",3,3,Apartment,Dhaka,Uttara,Sector 6,"Focus On Renting A Home For Your Family Like This 1500 Sq Ft Apartment In Uttara, Sector 6",/en/property/details-3031883.html,30000.0
"2,600 sqft",4,4,Apartment,Dhaka,Uttara,Sector 4,Feel The Great Homely Vibe In This 2600 Sq Ft Apartment Ready For Rent In Uttara-4,/en/property/details-3079487.html,50000.0
950 sqft,2,2,Apartment,Dhaka,Uttara,Sector 5,Gorgeous 2-Bedroom Apartment For Rent In Uttara -5,/en/property/details-5242344.html,20000.0
300 sqft,1,1,Apartment,Dhaka,Uttara,Sector 14,"Enhance Your Lifestyle By Renting This Wonderful Flat In Uttara, Sector 14",/en/property/details-3915517.html,10000.0
